Dates,PBI
Mar-93,237.731
Jun-93,269.739
Sep-93,272.243
Dec-93,278.000
Mar-94,262.838
Jun-94,294.817
Sep-94,291.669
Dec-94,302.015
Mar-95,279.970
Jun-95,292.489
Sep-95,287.196
Dec-95,294.331
Mar-96,280.858
Jun-96,313.245
Sep-96,306.912
Dec-96,316.110
Mar-97,303.287
Jun-97,335.277
Sep-97,333.480
Dec-97,337.698
Mar-98,316.149
Jun-98,348.981
Sep-98,341.541
Dec-98,330.305
Mar-99,302.712
Jun-99,322.931
Sep-99,318.746
Dec-99,323.601
Mar-00,302.375
Jun-00,326.247
Sep-00,321.439
Dec-00,320.973
Mar-01,294.421
Jun-01,322.032
Sep-01,303.407
Dec-01,281.823
Mar-02,265.045
Jun-02,379.034
Sep-02,373.441
Dec-02,380.421
Mar-03,366.012
Jun-03,446.241
Sep-03,422.503
Dec-03,446.410
Mar-04,439.196
Jun-04,509.499
Sep-04,488.462
Dec-04,503.304
Mar-05,510.703
Jun-05,605.772
Sep-05,590.220
Dec-05,623.458
Mar-06,643.562
Jun-06,727.989
Sep-06,729.299
Dec-06,762.766
Mar-07,774.388
Jun-07,904.350
Sep-07,914.104
Dec-07,995.079
Mar-08,1.032.357
Jun-08,1.213.883
Sep-08,1.183.692
Dec-08,1.168.652
Mar-09,1.112.307
Jun-09,1.251.465
Sep-09,1.269.735
Dec-09,1.358.210
Mar-10,1.418.858
Jun-10,1.686.067
Sep-10,1.712.835
Dec-10,1.829.124
Mar-11,1.888.827
Jun-11,2.237.124
Sep-11,2.250.487
Dec-11,2.339.658
Mar-12,2.345.560
Jun-12,2.651.098
Sep-12,2.704.828
Dec-12,2.850.170
Mar-13,2.888.981
Jun-13,3.387.811
Sep-13,3.436.547
Dec-13,3.679.896
Mar-14,3.917.649
Jun-14,4.702.630
Sep-14,4.685.503
Dec-14,5.010.564
Mar-15,5.092.694
Jun-15,5.951.479
Sep-15,6.221.731
Dec-15,6.552.140
Mar-16,7.006.645
Jun-16,8.414.556
Sep-16,8.527.629
Dec-16,8.963.808
Mar-17,9.207.048
Jun-17,10.602.469
Sep-17,11.070.090
Dec-17,11.699.508
Mar-18,12.295.597
Jun-18,14.242.781
Sep-18,14.960.938
Dec-18,16.923.845
Mar-19,17.555.535
Jun-19,21.466.179
Sep-19,22.246.374
