0,16/09/2019,0.00029006852518888597,242.07019658309574
1,17/09/2019,-0.0001253386658410393,242.0398558276161
2,18/09/2019,5.415886175372479e-05,242.05296443070677
3,19/09/2019,-2.3402054639540207e-05,242.04729989400747
4,20/09/2019,1.01120323363214e-05,242.04974748413096
5,23/09/2019,-4.369411128458875e-06,242.04868986927067
6,24/09/2019,1.8880233937667116e-06,242.0491468628596
7,25/09/2019,-8.158152736402364e-07,242.04894939546858
8,26/09/2019,3.525139375401888e-07,242.04903472109686
9,27/09/2019,-1.5232134059663094e-07,242.0489978518634
10,30/09/2019,6.581808073477861e-08,242.04901378306388
11,01/10/2019,-2.8440005416454767e-08,242.04900689918864
12,02/10/2019,1.2288931841499056e-08,242.0490098737124
13,03/10/2019,-5.310049825716058e-09,242.04900858842007
14,04/10/2019,2.2944735567959332e-09,242.04900914379513
15,07/10/2019,-9.914424677033705e-10,242.04900890381748
16,08/10/2019,4.2840248206581164e-10,242.04900900751187
17,09/10/2019,-1.8511279536500346e-10,242.04900896270547
18,10/10/2019,7.998727468292668e-11,242.04900898206634
19,11/10/2019,-3.456251686214626e-11,242.04900897370052
